0.000	12.647
0.250	13.306
0.500	12.613
0.750	12.009
1.000	10.496
1.250	9.513
1.500	8.034
1.750	6.182
2.000	4.861
2.250	3.388
2.500	2.406
2.750	1.724
3.000	1.511
3.250	2.001
3.500	2.663
3.750	3.922
4.000	5.761
4.250	7.660
4.500	10.212
4.750	12.284
5.000	14.811
5.250	16.494
5.500	19.635
5.750	20.336
6.000	20.663
6.250	21.435
6.500	23.637
6.750	23.064
7.000	21.980
7.250	20.225
7.500	19.658
7.750	17.494
8.000	16.430
8.250	14.159
8.500	13.444
8.750	11.757
9.000	11.684
9.250	11.423
9.500	11.665
9.750	11.527
10.000	13.745
10.250	15.066
10.500	17.416
10.750	19.200
11.000	21.104
11.250	23.687
11.500	26.492
11.750	26.855
12.000	28.954
12.250	29.605
12.500	31.678
12.750	31.216
13.000	31.813
13.250	31.460
13.500	29.081
13.750	29.915
14.000	26.210
14.250	25.498
14.500	23.411
14.750	22.480
15.000	21.148
15.250	19.730
15.500	20.613
15.750	20.551
16.000	21.673
16.250	22.775
16.500	25.109
16.750	25.369
17.000	29.494
17.250	31.474
17.500	32.277
17.750	33.639
18.000	38.207
18.250	39.585
18.500	39.443
18.750	42.905
19.000	41.432
19.250	42.834
19.500	42.156
19.750	37.623
20.000	36.833
20.250	37.530
20.500	35.821
20.750	31.984
21.000	31.122
21.250	31.513
21.500	30.103
21.750	29.241
22.000	30.514
22.250	29.650
22.500	32.847
22.750	33.837
23.000	36.268
23.250	37.898
23.500	38.543
23.750	43.201
24.000	44.328
24.250	46.066
24.500	50.122
24.750	49.093
25.000	50.175
